treatment,replicate,crop,crop_only_yield_bu_A,crop_only_yield_kg_ha,whole_plot_yield_bu_A,whole_plot_yield_kg_ha,year
T4,R1,Zea mays L.,65.7,4121.3,62.415,3915.235,2023
T4,R6,Zea mays L.,48.8,3062.4,46.36,2909.28,2023
T4,R5,Zea mays L.,57,3573.9,54.15,3395.205,2023
T4,R4,Zea mays L.,55.3,3468.1,52.535,3294.695,2023
T4,R3,Zea mays L.,72.1,4523.1,68.495,4296.945,2023
T4,R2,Zea mays L.,59.3,3723.4,56.335,3537.23,2023
T3,R3,Zea mays L.,168.7,10582.1,160.265,10052.995,2023
T3,R6,Zea mays L.,172.2,10806.8,163.59,10266.46,2023
T3,R5,Zea mays L.,164.2,10301.2,155.99,9786.14,2023
T3,R4,Zea mays L.,169.6,10637.7,161.12,10105.815,2023
T3,R2,Zea mays L.,178.2,11181.6,169.29,10622.52,2023
T1,R1,Zea mays L.,156.2,9799.5,156.2,9799.5,2023
T3,R1,Zea mays L.,163.3,10246.3,155.135,9733.985,2023
T1,R6,Zea mays L.,184,11546.1,184,11546.1,2023
T1,R5,Zea mays L.,167.7,10523.7,167.7,10523.7,2023
T1,R4,Zea mays L.,172.7,10834.3,172.7,10834.3,2023
T1,R3,Zea mays L.,189.5,11888.1,189.5,11888.1,2023
T1,R2,Zea mays L.,184.1,11547.5,184.1,11547.5,2023
T2,R4,Zea mays L.,198.2,12437,198.2,12437,2023
T2,R5,Zea mays L.,186.1,11677,186.1,11677,2023
T2,R1,Zea mays L.,189.9,11911.7,189.9,11911.7,2023
T2,R6,Zea mays L.,187,11729.5,187,11729.5,2023
T2,R3,Zea mays L.,196.1,12302.9,196.1,12302.9,2023
T2,R2,Zea mays L.,184.6,11583.9,184.6,11583.9,2023
T3,R2,Triticum aestivum L.,63.4,4263.6,60.23,4050.42,2022
T4,R6,Triticum aestivum L.,22.4,1505.3,21.28,1430.035,2022
T4,R5,Triticum aestivum L.,25.3,1702.1,24.035,1616.995,2022
T4,R4,Triticum aestivum L.,25.4,1708.2,24.13,1622.79,2022
T4,R3,Triticum aestivum L.,26.9,1810,25.555,1719.5,2022
T4,R2,Triticum aestivum L.,27.6,1855.3,26.22,1762.535,2022
T4,R1,Triticum aestivum L.,26.5,1781,25.175,1691.95,2022
T3,R5,Triticum aestivum L.,60,4036.6,57,3834.77,2022
T3,R4,Triticum aestivum L.,62.2,4179.7,59.09,3970.715,2022
T1,R3,Triticum aestivum L.,88,5916.6,88,5916.6,2022
T3,R6,Triticum aestivum L.,56.5,3795.3,53.675,3605.535,2022
T3,R3,Triticum aestivum L.,60.3,4053.7,57.285,3851.015,2022
T3,R1,Triticum aestivum L.,60.1,4042.6,57.095,3840.47,2022
T2,R6,Triticum aestivum L.,84.6,5689.8,84.6,5689.8,2022
T2,R4,Triticum aestivum L.,79.2,5323.1,79.2,5323.1,2022
T2,R1,Triticum aestivum L.,78.9,5304.7,78.9,5304.7,2022
T1,R4,Triticum aestivum L.,71.4,4799.6,71.4,4799.6,2022
T1,R2,Triticum aestivum L.,80.5,5409.7,80.5,5409.7,2022
T1,R1,Triticum aestivum L.,71.3,4793.5,71.3,4793.5,2022
T2,R5,Triticum aestivum L.,82.4,5536.9,82.4,5536.9,2022
T2,R3,Triticum aestivum L.,78.4,5268.8,78.4,5268.8,2022
T2,R2,Triticum aestivum L.,83.3,5602.5,83.3,5602.5,2022
T1,R6,Triticum aestivum L.,71.2,4784.2,71.2,4784.2,2022
T1,R5,Triticum aestivum L.,74.9,5036.2,74.9,5036.2,2022
T4,R5,Glycine max L.,29.2,1964.4,27.74,1866.18,2021
T4,R4,Glycine max L.,36.1,2423.8,34.295,2302.61,2021
T4,R3,Glycine max L.,32,2154.4,30.4,2046.68,2021
T4,R1,Glycine max L.,30.8,2069.1,29.26,1965.645,2021
T4,R6,Glycine max L.,21.1,1417.8,20.045,1346.91,2021
T3,R3,Glycine max L.,63.1,4244.2,59.945,4031.99,2021
T3,R1,Glycine max L.,63,4233,59.85,4021.35,2021
T3,R2,Glycine max L.,66.8,4488.8,63.46,4264.36,2021
T4,R2,Glycine max L.,29.8,2001.7,28.31,1901.615,2021
T3,R6,Glycine max L.,60.5,4064,57.475,3860.8,2021
T3,R5,Glycine max L.,56,3763.6,53.2,3575.42,2021
T3,R4,Glycine max L.,56.1,3772.8,53.295,3584.16,2021
T1,R1,Glycine max L.,58.2,3910,58.2,3910,2021
T2,R6,Glycine max L.,59.2,3980.2,59.2,3980.2,2021
T2,R5,Glycine max L.,64.3,4319.2,64.3,4319.2,2021
T2,R4,Glycine max L.,63.4,4263.4,63.4,4263.4,2021
T2,R3,Glycine max L.,64.4,4328.9,64.4,4328.9,2021
T2,R2,Glycine max L.,60.4,4062.5,60.4,4062.5,2021
T2,R1,Glycine max L.,61.4,4126.7,61.4,4126.7,2021
T1,R5,Glycine max L.,65.3,4389.2,65.3,4389.2,2021
T1,R4,Glycine max L.,67.5,4537.9,67.5,4537.9,2021
T1,R3,Glycine max L.,57.1,3836.6,57.1,3836.6,2021
T1,R2,Glycine max L.,67.9,4564,67.9,4564,2021
T1,R6,Glycine max L.,61.3,4117.7,61.3,4117.7,2021
T4,R1,Zea mays L.,110.8,6950.3,105.26,6602.785,2020
T4,R6,Zea mays L.,77.3,4850,73.435,4607.5,2020
T4,R5,Zea mays L.,106.8,6699.2,101.46,6364.24,2020
T4,R4,Zea mays L.,116,7279,110.2,6915.05,2020
T4,R3,Zea mays L.,120.5,7562,114.475,7183.9,2020
T4,R2,Zea mays L.,110.5,6930.9,104.975,6584.355,2020
T3,R6,Zea mays L.,114.8,7204.4,109.06,6844.18,2020
T3,R3,Zea mays L.,131.6,8257.1,125.02,7844.245,2020
T2,R4,Zea mays L.,168.3,10557.2,168.3,10557.2,2020
T1,R2,Zea mays L.,118.2,7418.2,118.2,7418.2,2020
T3,R5,Zea mays L.,134,8404.1,127.3,7983.895,2020
T3,R4,Zea mays L.,145.5,9126.5,138.225,8670.175,2020
T2,R5,Zea mays L.,162.2,10173.7,162.2,10173.7,2020
T2,R3,Zea mays L.,183,11479.3,183,11479.3,2020
T2,R2,Zea mays L.,156.1,9793.4,156.1,9793.4,2020
T1,R5,Zea mays L.,94.2,5908.2,94.2,5908.2,2020
T1,R4,Zea mays L.,98.3,6167.8,98.3,6167.8,2020
T1,R3,Zea mays L.,128.5,8062,128.5,8062,2020
T1,R6,Zea mays L.,123.2,7727.3,123.2,7727.3,2020
T3,R2,Zea mays L.,157.6,9885.9,149.72,9391.605,2020
T3,R1,Zea mays L.,128.1,8036,121.695,7634.2,2020
T2,R6,Zea mays L.,157.8,9901.8,157.8,9901.8,2020
T2,R1,Zea mays L.,157.1,9854,157.1,9854,2020
T1,R1,Zea mays L.,70.4,4417.5,70.4,4417.5,2020
T4,R4,Triticum aestivum L.,31.6,2123.4,30.02,2017.23,2019
T4,R6,Triticum aestivum L.,28.8,1933.2,27.36,1836.54,2019
T4,R5,Triticum aestivum L.,31.3,2102.7,29.735,1997.565,2019
T4,R3,Triticum aestivum L.,33.3,2237.6,31.635,2125.72,2019
T4,R2,Triticum aestivum L.,33,2217.1,31.35,2106.245,2019
T4,R1,Triticum aestivum L.,29.7,1998.5,28.215,1898.575,2019
T3,R6,Triticum aestivum L.,67.9,4565.4,64.505,4337.13,2019
T3,R5,Triticum aestivum L.,73.6,4944.5,69.92,4697.275,2019
T3,R4,Triticum aestivum L.,74.8,5029.3,71.06,4777.835,2019
T3,R3,Triticum aestivum L.,71.2,4786.1,67.64,4546.795,2019
T3,R2,Triticum aestivum L.,72.9,4903.7,69.255,4658.515,2019
T3,R1,Triticum aestivum L.,69.2,4652,65.74,4419.4,2019
T1,R1,Triticum aestivum L.,78.5,5277.2,78.5,5277.2,2019
T2,R6,Triticum aestivum L.,81.4,5472.9,81.4,5472.9,2019
T2,R5,Triticum aestivum L.,75.6,5082.6,75.6,5082.6,2019
T2,R4,Triticum aestivum L.,76.1,5115.1,76.1,5115.1,2019
T2,R3,Triticum aestivum L.,76.7,5152.9,76.7,5152.9,2019
T2,R2,Triticum aestivum L.,75.5,5077.3,75.5,5077.3,2019
T2,R1,Triticum aestivum L.,78.1,5249,78.1,5249,2019
T1,R6,Triticum aestivum L.,81.5,5481.7,81.5,5481.7,2019
T1,R5,Triticum aestivum L.,85.3,5731.5,85.3,5731.5,2019
T1,R4,Triticum aestivum L.,84.2,5658.5,84.2,5658.5,2019
T1,R3,Triticum aestivum L.,83.2,5591.4,83.2,5591.4,2019
T1,R2,Triticum aestivum L.,85.8,5764.6,85.8,5764.6,2019
T4,R3,Glycine max L.,53.2,3573.2,53.2,3573.2,2018
T4,R1,Glycine max L.,51.4,3456.5,51.4,3456.5,2018
T4,R6,Glycine max L.,41.9,2819.5,41.9,2819.5,2018
T4,R5,Glycine max L.,42.1,2831,42.1,2831,2018
T4,R4,Glycine max L.,55.3,3714.2,55.3,3714.2,2018
T4,R2,Glycine max L.,52,3497.3,52,3497.3,2018
T3,R5,Glycine max L.,51.4,3458.2,51.4,3458.2,2018
T1,R6,Glycine max L.,46.6,3133,46.6,3133,2018
T3,R6,Glycine max L.,55.8,3752.8,55.8,3752.8,2018
T1,R5,Glycine max L.,39.2,2633.6,39.2,2633.6,2018
T1,R2,Glycine max L.,53.5,3595.4,53.5,3595.4,2018
T3,R4,Glycine max L.,52.8,3547.5,52.8,3547.5,2018
T3,R3,Glycine max L.,50.9,3424.1,50.9,3424.1,2018
T3,R2,Glycine max L.,58.3,3917,58.3,3917,2018
T3,R1,Glycine max L.,53.6,3604.3,53.6,3604.3,2018
T2,R6,Glycine max L.,53,3563.9,53,3563.9,2018
T2,R5,Glycine max L.,51,3426.1,51,3426.1,2018
T2,R4,Glycine max L.,55.4,3727.4,55.4,3727.4,2018
T2,R3,Glycine max L.,56.9,3826.2,56.9,3826.2,2018
T2,R2,Glycine max L.,49.9,3351.8,49.9,3351.8,2018
T2,R1,Glycine max L.,54.1,3638.6,54.1,3638.6,2018
T1,R4,Glycine max L.,46.2,3107.1,46.2,3107.1,2018
T1,R3,Glycine max L.,52.9,3559.3,52.9,3559.3,2018
T1,R1,Glycine max L.,38.4,2579,38.4,2579,2018
T1,R5,Zea mays L.,128.9,8089.4,128.9,8089.4,2017
T4,R6,Zea mays L.,25.7,1609.5,25.7,1609.5,2017
T4,R5,Zea mays L.,39.6,2482.9,39.6,2482.9,2017
T4,R4,Zea mays L.,43.3,2718.7,43.3,2718.7,2017
T4,R3,Zea mays L.,49.4,3101.2,49.4,3101.2,2017
T4,R2,Zea mays L.,48.9,3069.6,48.9,3069.6,2017
T4,R1,Zea mays L.,43.4,2722.2,43.4,2722.2,2017
T3,R6,Zea mays L.,116.8,7327,116.8,7327,2017
T3,R5,Zea mays L.,137.2,8610.3,137.2,8610.3,2017
T2,R6,Zea mays L.,140.2,8795.1,140.2,8795.1,2017
T2,R5,Zea mays L.,173,10851.3,173,10851.3,2017
T1,R6,Zea mays L.,124.1,7789,124.1,7789,2017
T1,R2,Zea mays L.,135.7,8513.9,135.7,8513.9,2017
T3,R4,Zea mays L.,128.9,8089.2,128.9,8089.2,2017
T3,R3,Zea mays L.,108.8,6829.1,108.8,6829.1,2017
T3,R2,Zea mays L.,134,8405.6,134,8405.6,2017
T3,R1,Zea mays L.,109.8,6891.6,109.8,6891.6,2017
T2,R4,Zea mays L.,169,10600.4,169,10600.4,2017
T2,R3,Zea mays L.,164.8,10341.2,164.8,10341.2,2017
T2,R2,Zea mays L.,165.7,10394.3,165.7,10394.3,2017
T2,R1,Zea mays L.,136.7,8578.7,136.7,8578.7,2017
T1,R4,Zea mays L.,129.3,8110.2,129.3,8110.2,2017
T1,R3,Zea mays L.,131.1,8225.5,131.1,8225.5,2017
T1,R1,Zea mays L.,112.4,7050.2,112.4,7050.2,2017
T3,R5,Triticum aestivum L.,74.3,4993.2,74.3,4993.2,2016
T3,R4,Triticum aestivum L.,78.2,5257.6,78.2,5257.6,2016
T4,R2,Triticum aestivum L.,39.4,2651.7,39.4,2651.7,2016
T4,R5,Triticum aestivum L.,45.8,3075.4,45.8,3075.4,2016
T4,R4,Triticum aestivum L.,40.1,2697,40.1,2697,2016
T4,R3,Triticum aestivum L.,40.7,2735.6,40.7,2735.6,2016
T3,R3,Triticum aestivum L.,77.9,5236,77.9,5236,2016
T3,R1,Triticum aestivum L.,72,4837.8,72,4837.8,2016
T4,R6,Triticum aestivum L.,33,2216.4,33,2216.4,2016
T4,R1,Triticum aestivum L.,41.5,2789.6,41.5,2789.6,2016
T2,R6,Triticum aestivum L.,87.3,5869.4,87.3,5869.4,2016
T3,R6,Triticum aestivum L.,73.6,4949.4,73.6,4949.4,2016
T3,R2,Triticum aestivum L.,82.5,5546.1,82.5,5546.1,2016
T1,R5,Triticum aestivum L.,81.8,5502,81.8,5502,2016
T2,R5,Triticum aestivum L.,85.9,5774,85.9,5774,2016
T2,R4,Triticum aestivum L.,88.9,5973.7,88.9,5973.7,2016
T2,R3,Triticum aestivum L.,91.7,6165.1,91.7,6165.1,2016
T2,R2,Triticum aestivum L.,84.3,5669.8,84.3,5669.8,2016
T2,R1,Triticum aestivum L.,87.3,5866.9,87.3,5866.9,2016
T1,R6,Triticum aestivum L.,88.2,5931.4,88.2,5931.4,2016
T1,R4,Triticum aestivum L.,84.3,5667.8,84.3,5667.8,2016
T1,R3,Triticum aestivum L.,89.9,6042.3,89.9,6042.3,2016
T1,R2,Triticum aestivum L.,91,6118.4,91,6118.4,2016
T1,R1,Triticum aestivum L.,82.2,5528.7,82.2,5528.7,2016
T4,R6,Glycine max L.,28.1,1895.6,28.1,1895.6,2015
T4,R5,Glycine max L.,36.9,2488.2,36.9,2488.2,2015
T4,R4,Glycine max L.,41.3,2780.8,41.3,2780.8,2015
T4,R3,Glycine max L.,42.5,2863.5,42.5,2863.5,2015
T4,R2,Glycine max L.,34.5,2325,34.5,2325,2015
T4,R1,Glycine max L.,42,2828.2,42,2828.2,2015
T3,R3,Glycine max L.,57.1,3844.2,57.1,3844.2,2015
T1,R4,Glycine max L.,51.8,3489.4,51.8,3489.4,2015
T1,R1,Glycine max L.,45.1,3041.2,45.1,3041.2,2015
T1,R5,Glycine max L.,49.7,3349.8,49.7,3349.8,2015
T3,R5,Glycine max L.,60.8,4093.1,60.8,4093.1,2015
T3,R4,Glycine max L.,62.3,4198.8,62.3,4198.8,2015
T3,R2,Glycine max L.,64.1,4319.2,64.1,4319.2,2015
T2,R5,Glycine max L.,58.2,3922,58.2,3922,2015
T2,R4,Glycine max L.,58.4,3936.9,58.4,3936.9,2015
T2,R3,Glycine max L.,60.1,4047.9,60.1,4047.9,2015
T2,R2,Glycine max L.,59,3975.2,59,3975.2,2015
T1,R3,Glycine max L.,54.2,3652.6,54.2,3652.6,2015
T3,R6,Glycine max L.,62.8,4227.6,62.8,4227.6,2015
T3,R1,Glycine max L.,63,4242.3,63,4242.3,2015
T2,R6,Glycine max L.,58.5,3941,58.5,3941,2015
T2,R1,Glycine max L.,59,3971.7,59,3971.7,2015
T1,R6,Glycine max L.,55.8,3756.7,55.8,3756.7,2015
T1,R2,Glycine max L.,58.4,3931.8,58.4,3931.8,2015
T4,R2,Zea mays L.,97.6,6125.3,97.6,6125.3,2014
T4,R6,Zea mays L.,49.2,3084,49.2,3084,2014
T4,R5,Zea mays L.,83.3,5224.5,83.3,5224.5,2014
T4,R4,Zea mays L.,95.9,6017.8,95.9,6017.8,2014
T4,R3,Zea mays L.,101.2,6346.7,101.2,6346.7,2014
T4,R1,Zea mays L.,96.5,6057.6,96.5,6057.6,2014
T3,R2,Zea mays L.,161.5,10130.7,161.5,10130.7,2014
T3,R6,Zea mays L.,139.3,8741.2,139.3,8741.2,2014
T3,R5,Zea mays L.,133.6,8383.5,133.6,8383.5,2014
T3,R4,Zea mays L.,136,8533.7,136,8533.7,2014
T3,R3,Zea mays L.,145.8,9149,145.8,9149,2014
T3,R1,Zea mays L.,136.3,8549,136.3,8549,2014
T1,R1,Zea mays L.,133.8,8396.5,133.8,8396.5,2014
T2,R6,Zea mays L.,171.5,10760.4,171.5,10760.4,2014
T2,R5,Zea mays L.,185.3,11623.6,185.3,11623.6,2014
T2,R4,Zea mays L.,189.2,11867.8,189.2,11867.8,2014
T2,R3,Zea mays L.,189.8,11905.8,189.8,11905.8,2014
T2,R2,Zea mays L.,181.8,11405.4,181.8,11405.4,2014
T2,R1,Zea mays L.,176.3,11058.1,176.3,11058.1,2014
T1,R6,Zea mays L.,165.7,10396.3,165.7,10396.3,2014
T1,R5,Zea mays L.,145.9,9156,145.9,9156,2014
T1,R4,Zea mays L.,145.9,9155.8,145.9,9155.8,2014
T1,R3,Zea mays L.,164.3,10309.3,164.3,10309.3,2014
T1,R2,Zea mays L.,174.3,10934.8,174.3,10934.8,2014
T3,R1,Triticum aestivum L.,48.8,3281.1,48.8,3281.1,2013
T4,R6,Triticum aestivum L.,22.5,1512.6,22.5,1512.6,2013
T4,R5,Triticum aestivum L.,25.4,1706.1,25.4,1706.1,2013
T4,R4,Triticum aestivum L.,27,1815.5,27,1815.5,2013
T4,R3,Triticum aestivum L.,27.9,1873.5,27.9,1873.5,2013
T4,R2,Triticum aestivum L.,26.9,1806,26.9,1806,2013
T4,R1,Triticum aestivum L.,28.3,1900.9,28.3,1900.9,2013
T3,R6,Triticum aestivum L.,49.7,3344,49.7,3344,2013
T3,R5,Triticum aestivum L.,41.7,2803.7,41.7,2803.7,2013
T3,R4,Triticum aestivum L.,49.2,3309.9,49.2,3309.9,2013
T3,R3,Triticum aestivum L.,52.7,3545.4,52.7,3545.4,2013
T3,R2,Triticum aestivum L.,54,3632.3,54,3632.3,2013
T2,R6,Triticum aestivum L.,48.8,3277.4,48.8,3277.4,2013
T2,R5,Triticum aestivum L.,42.7,2868.9,42.7,2868.9,2013
T2,R4,Triticum aestivum L.,40.2,2699.1,40.2,2699.1,2013
T2,R3,Triticum aestivum L.,50.4,3386.2,50.4,3386.2,2013
T2,R2,Triticum aestivum L.,47,3156.8,47,3156.8,2013
T2,R1,Triticum aestivum L.,41.8,2809.7,41.8,2809.7,2013
T1,R6,Triticum aestivum L.,55.2,3712.1,55.2,3712.1,2013
T1,R5,Triticum aestivum L.,54.9,3690.9,54.9,3690.9,2013
T1,R4,Triticum aestivum L.,54.5,3663.6,54.5,3663.6,2013
T1,R3,Triticum aestivum L.,53.7,3613,53.7,3613,2013
T1,R2,Triticum aestivum L.,59.4,3990.1,59.4,3990.1,2013
T1,R1,Triticum aestivum L.,53.9,3624.5,53.9,3624.5,2013
T4,R5,Glycine max L.,14.9,1006.1,14.9,1006.1,2012
T4,R4,Glycine max L.,18.4,1236.2,18.4,1236.2,2012
T4,R3,Glycine max L.,19.4,1309.2,19.4,1309.2,2012
T4,R2,Glycine max L.,20,1347,20,1347,2012
T4,R1,Glycine max L.,19,1276.7,19,1276.7,2012
T4,R6,Glycine max L.,16.6,1117.5,16.6,1117.5,2012
T2,R6,Glycine max L.,26.8,1807.6,26.8,1807.6,2012
T2,R4,Glycine max L.,30,2021,30,2021,2012
T2,R2,Glycine max L.,29.8,2004.9,29.8,2004.9,2012
T2,R1,Glycine max L.,26.3,1768.6,26.3,1768.6,2012
T1,R6,Glycine max L.,25.8,1737.7,25.8,1737.7,2012
T1,R4,Glycine max L.,15.7,1057.2,15.7,1057.2,2012
T1,R2,Glycine max L.,18.3,1231.4,18.3,1231.4,2012
T1,R3,Glycine max L.,23.8,1603.3,23.8,1603.3,2012
T1,R1,Glycine max L.,14.8,998.3,14.8,998.3,2012
T3,R6,Glycine max L.,22.2,1495.1,22.2,1495.1,2012
T3,R3,Glycine max L.,19.7,1326,19.7,1326,2012
T3,R2,Glycine max L.,25.1,1690.6,25.1,1690.6,2012
T3,R1,Glycine max L.,18.4,1239.9,18.4,1239.9,2012
T2,R5,Glycine max L.,25.7,1733.8,25.7,1733.8,2012
T1,R5,Glycine max L.,17.6,1183.3,17.6,1183.3,2012
T3,R5,Glycine max L.,21.3,1437.9,21.3,1437.9,2012
T3,R4,Glycine max L.,18.4,1238.5,18.4,1238.5,2012
T2,R3,Glycine max L.,29.2,1968.4,29.2,1968.4,2012
T3,R4,Zea mays L.,188.2,11810.2,188.2,11810.2,2011
T4,R6,Zea mays L.,92.7,5814.6,92.7,5814.6,2011
T4,R5,Zea mays L.,91.5,5743.8,91.5,5743.8,2011
T4,R4,Zea mays L.,110.4,6924.2,110.4,6924.2,2011
T4,R3,Zea mays L.,106.7,6697.2,106.7,6697.2,2011
T4,R2,Zea mays L.,110.2,6913.1,110.2,6913.1,2011
T4,R1,Zea mays L.,107.5,6746.7,107.5,6746.7,2011
T3,R5,Zea mays L.,182.7,11462.2,182.7,11462.2,2011
T1,R3,Zea mays L.,153.1,9608.3,153.1,9608.3,2011
T3,R6,Zea mays L.,193,12107.1,193,12107.1,2011
T3,R3,Zea mays L.,189.1,11863,189.1,11863,2011
T3,R2,Zea mays L.,205,12861.5,205,12861.5,2011
T3,R1,Zea mays L.,175.3,10997.9,175.3,10997.9,2011
T2,R6,Zea mays L.,181.2,11370.5,181.2,11370.5,2011
T2,R1,Zea mays L.,162.3,10183,162.3,10183,2011
T1,R6,Zea mays L.,180.7,11339.7,180.7,11339.7,2011
T1,R2,Zea mays L.,189.2,11867.8,189.2,11867.8,2011
T2,R5,Zea mays L.,184.8,11595.5,184.8,11595.5,2011
T2,R4,Zea mays L.,194.2,12186.7,194.2,12186.7,2011
T2,R3,Zea mays L.,194.3,12188.5,194.3,12188.5,2011
T2,R2,Zea mays L.,184.9,11598.6,184.9,11598.6,2011
T1,R5,Zea mays L.,179.1,11234.1,179.1,11234.1,2011
T1,R4,Zea mays L.,175.6,11018.4,175.6,11018.4,2011
T1,R1,Zea mays L.,173.8,10904.4,173.8,10904.4,2011
T3,R2,Triticum aestivum L.,35.8,2404.3,35.8,2404.3,2010
T4,R6,Triticum aestivum L.,22.2,1492.7,22.2,1492.7,2010
T4,R3,Triticum aestivum L.,28,1881.7,28,1881.7,2010
T4,R2,Triticum aestivum L.,27,1811.7,27,1811.7,2010
T4,R1,Triticum aestivum L.,33.9,2276.5,33.9,2276.5,2010
T3,R6,Triticum aestivum L.,46.3,3109,46.3,3109,2010
T3,R4,Triticum aestivum L.,50.3,3378.6,50.3,3378.6,2010
T3,R3,Triticum aestivum L.,49.2,3304.7,49.2,3304.7,2010
T3,R1,Triticum aestivum L.,52.5,3528.7,52.5,3528.7,2010
T4,R4,Triticum aestivum L.,32,2150.3,32,2150.3,2010
T4,R5,Triticum aestivum L.,29.8,2002.4,29.8,2002.4,2010
T3,R5,Triticum aestivum L.,44.6,2995.2,44.6,2995.2,2010
T1,R2,Triticum aestivum L.,40.3,2707.8,40.3,2707.8,2010
T2,R6,Triticum aestivum L.,50.7,3405,50.7,3405,2010
T2,R5,Triticum aestivum L.,54.3,3649.9,54.3,3649.9,2010
T2,R4,Triticum aestivum L.,54.4,3653.6,54.4,3653.6,2010
T2,R3,Triticum aestivum L.,56.6,3804.6,56.6,3804.6,2010
T2,R2,Triticum aestivum L.,53.3,3583.8,53.3,3583.8,2010
T2,R1,Triticum aestivum L.,56.2,3779,56.2,3779,2010
T1,R6,Triticum aestivum L.,42.4,2850.5,42.4,2850.5,2010
T1,R5,Triticum aestivum L.,37.8,2539.3,37.8,2539.3,2010
T1,R4,Triticum aestivum L.,38.2,2570.5,38.2,2570.5,2010
T1,R3,Triticum aestivum L.,47.7,3206.1,47.7,3206.1,2010
T1,R1,Triticum aestivum L.,32,2152.4,32,2152.4,2010
T2,R1,Glycine max L.,39.2,2641.8,39.2,2641.8,2009
T4,R6,Glycine max L.,27.1,1825.5,27.1,1825.5,2009
T4,R5,Glycine max L.,28.1,1895.1,28.1,1895.1,2009
T4,R4,Glycine max L.,37.4,2519.5,37.4,2519.5,2009
T4,R3,Glycine max L.,34.9,2348.8,34.9,2348.8,2009
T4,R2,Glycine max L.,29.6,1992.4,29.6,1992.4,2009
T4,R1,Glycine max L.,35.7,2406.4,35.7,2406.4,2009
T3,R6,Glycine max L.,38.5,2593.9,38.5,2593.9,2009
T3,R3,Glycine max L.,33.7,2273,33.7,2273,2009
T3,R2,Glycine max L.,35.3,2375.1,35.3,2375.1,2009
T3,R1,Glycine max L.,28.4,1915.8,28.4,1915.8,2009
T2,R6,Glycine max L.,38.8,2611.3,38.8,2611.3,2009
T1,R6,Glycine max L.,30.6,2058.1,30.6,2058.1,2009
T1,R3,Glycine max L.,29.7,2000.9,29.7,2000.9,2009
T1,R2,Glycine max L.,30.4,2047.9,30.4,2047.9,2009
T2,R5,Glycine max L.,33.8,2274.2,33.8,2274.2,2009
T2,R4,Glycine max L.,38.1,2567.3,38.1,2567.3,2009
T2,R3,Glycine max L.,38.6,2598.5,38.6,2598.5,2009
T2,R2,Glycine max L.,40.5,2727.5,40.5,2727.5,2009
T1,R5,Glycine max L.,29.6,1996.2,29.6,1996.2,2009
T1,R4,Glycine max L.,28.9,1948,28.9,1948,2009
T1,R1,Glycine max L.,26,1753.7,26,1753.7,2009
T3,R5,Glycine max L.,29.7,2000.9,29.7,2000.9,2009
T3,R4,Glycine max L.,32,2152.7,32,2152.7,2009
T3,R4,Zea mays L.,78.3,4914.7,78.3,4914.7,2008
T3,R3,Zea mays L.,75.6,4744.1,75.6,4744.1,2008
T3,R1,Zea mays L.,75.6,4743.3,75.6,4743.3,2008
T3,R2,Zea mays L.,88.9,5576.2,88.9,5576.2,2008
T4,R6,Zea mays L.,52.2,3275.4,52.2,3275.4,2008
T4,R5,Zea mays L.,43.1,2701.1,43.1,2701.1,2008
T4,R4,Zea mays L.,60.7,3810.1,60.7,3810.1,2008
T4,R3,Zea mays L.,63.2,3966.7,63.2,3966.7,2008
T4,R2,Zea mays L.,59.2,3713.5,59.2,3713.5,2008
T4,R1,Zea mays L.,77.1,4838,77.1,4838,2008
T3,R6,Zea mays L.,86.6,5434.1,86.6,5434.1,2008
T3,R5,Zea mays L.,80.7,5065.8,80.7,5065.8,2008
T2,R2,Zea mays L.,107.5,6745.2,107.5,6745.2,2008
T2,R5,Zea mays L.,102.7,6441.8,102.7,6441.8,2008
T2,R4,Zea mays L.,112.5,7057.8,112.5,7057.8,2008
T2,R3,Zea mays L.,110.1,6907.7,110.1,6907.7,2008
T1,R5,Zea mays L.,78.2,4908.2,78.2,4908.2,2008
T1,R1,Zea mays L.,60.9,3818.1,60.9,3818.1,2008
T1,R3,Zea mays L.,102.2,6410.8,102.2,6410.8,2008
T1,R2,Zea mays L.,86.6,5432.5,86.6,5432.5,2008
T2,R6,Zea mays L.,93.1,5838.1,93.1,5838.1,2008
T2,R1,Zea mays L.,97.4,6107.9,97.4,6107.9,2008
T1,R6,Zea mays L.,110.7,6943.3,110.7,6943.3,2008
T1,R4,Zea mays L.,66.1,4147.3,66.1,4147.3,2008
T4,R1,Triticum aestivum L.,32.9,2212,32.9,2212,2007
T3,R6,Triticum aestivum L.,39.6,2659.2,39.6,2659.2,2007
T3,R5,Triticum aestivum L.,37.5,2521.5,37.5,2521.5,2007
T3,R4,Triticum aestivum L.,36.6,2457.8,36.6,2457.8,2007
T3,R3,Triticum aestivum L.,37.2,2501.2,37.2,2501.2,2007
T3,R2,Triticum aestivum L.,36.9,2479.8,36.9,2479.8,2007
T3,R1,Triticum aestivum L.,39,2623.4,39,2623.4,2007
T1,R2,Triticum aestivum L.,50.4,3387,50.4,3387,2007
T1,R3,Triticum aestivum L.,51.6,3469.1,51.6,3469.1,2007
T1,R6,Triticum aestivum L.,38.5,2586.4,38.5,2586.4,2007
T2,R1,Triticum aestivum L.,58.2,3909.1,58.2,3909.1,2007
T2,R6,Triticum aestivum L.,59.2,3982.3,59.2,3982.3,2007
